Aba;1
Abád;1
Abbás;1
Abdiás;1
Ábel;1
Abelárd;1
Abélia;0
Abiáta;0
Abigél;0
Abod;1
Abony;1
Ábrahám;1
Ábris;1
Absa;1
Absolon;1
Achilles;1
Acicét;1
Acsád;1
Ada;0
Adalbert;1
Adalberta;0
Ádám;1
Adél;0
Adelaida;0
Adelgunda;0
Adélia;0
Adelina;0
Adelinda;0
Adelmár;1
Adeodát;1
Adina;0
Adolár;1
Adolf;1
Adony;1
Adorján;1
Adrián;1
Adriána;0
Adrienn;0
Afrodité;0
Agád;1
Agapion;1
Agáta;0
Agaton;1
Agenór;1
Aggeus;1
Aglája;0
Agmánd;1
Agnella;0
Ágnes;0
Agnéta;0
Ágost;1
Ágosta;0
Ágoston;1
Ágota;0
Áhim;1
Ahmed;1
Aida;0
Ajád;1
Ajándék;0
Ajna;0
Ajnácska;0
Ajtony;1
Akács;1
Ákos;1
Aladár;1
Aladin;1
Alajos;1
Alán;1
Alárd;1
Alba;0
Albert;1
Alberta;0
Albertina;0
Albin;1
Albina;0
Alda;0
Aldán;1
Áldáska;0
Aldó;1
Áldor;1
Aléna;0
Aletta;0
Alex;1
Alexa;0
Alexandra;0
Alexia;0
Alfonz;1
Alfonza;0
Alfonzina;0
Alfréd;1
Alfréda;0
Algernon;1
Ali;1
Alícia;0
Alida;0
Alina;0
Alinda;0
Alinka;0
Aliz;0
Alma;0
Almiréna;0
Álmos;1
Alojzia;0
Alóma;0
Alpár;1
Alvián;1
Alvina;0
Amábel;0
Amadé;1
Amadea;0
Amadil;0
Amália;0
Amand;1
Amanda;0
Amaranta;0
Amarilla;0
Amarillisz;0
Amáta;0
Amázia;0
Ambos;1
Ambró;1
Ambrózia;0
Ambrus;1
Amélia;0
Amelita;0
Ametiszt;0
Amina;0
Aminta;0
Ámon;1
Ámos;1
Amrita;0
Anasztáz;1
Anasztázia;0
Anatol;1
Ancilla;0
Anda;0
Andor;1
Andos;1
András;1
Andrea;0
Anett;0
Anetta;0
Angéla;0
Angelika;0
Angelina;0
Angelus;1
Angyalka;0
Aniella;0
Anikó;0
Anilla;0
Anina;0
Anita;0
Aniziusz;1
Anna;0
Annabella;0
Annamária;0
